Orthogroup	Dgub_JAMKOV01	D_mel_protein
OG0001673	KAI8037157.1, KAI8037143.1	FBpp0085822, FBpp0085821, FBpp0292854
OG0001674	KAI8037049.1	FBpp0309683, FBpp0111558, FBpp0312497, FBpp0309684
OG0001675	KAI8036454.1	FBpp0297996, FBpp0088139, FBpp0305133
OG0001676	KAI8036475.1	FBpp0088463, FBpp0088462, FBpp0305364, FBpp0089013, FBpp0112329
OG0001677	KAI8034095.1	FBpp0088249, FBpp0428126, FBpp0308592
OG0001678	KAI8036416.1	FBpp0088145, FBpp0088144, FBpp0088146
OG0001679	KAI8035720.1	FBpp0305734, FBpp0087840, FBpp0087841, FBpp0305735
OG0001680	KAI8035721.1	FBpp0087824, FBpp0308387
OG0001680	KAI8035784.1	FBpp0087825
OG0001681	KAI8035719.1	FBpp0305732, FBpp0087822, FBpp0305733, FBpp0087823
OG0001682	KAI8035703.1	FBpp0290176, FBpp0308409, FBpp0099488
OG0001683	KAI8035700.1	FBpp0087864, FBpp0087863
OG0001684	KAI8036841.1	FBpp0304844, FBpp0071453, FBpp0304845, FBpp0428125, FBpp0292294
OG0001685	KAI8036955.1	FBpp0085556, FBpp0291491, FBpp0085555, FBpp0085557
OG0001686	KAI8036847.1	FBpp0309629, FBpp0071450, FBpp0311721
OG0001687	KAI8036878.1	FBpp0289598, FBpp0301833, FBpp0301832, FBpp0308394
OG0001688	KAI8037014.1	FBpp0289728, FBpp0087642, FBpp0308393
OG0001689	KAI8035335.1	FBpp0304588, FBpp0304587, FBpp0312566
OG0001690	KAI8033418.1	FBpp0291392, FBpp0073430, FBpp0304137
OG0001691	KAI8039121.1, KAI8041794.1	FBpp0288562, FBpp0306087, FBpp0073158
OG0001692	KAI8041074.1, KAI8039115.1	FBpp0312153, FBpp0288664, FBpp0303826
OG0001693	KAI8039429.1	FBpp0305060, FBpp0305062, FBpp0072406, FBpp0305061, FBpp0305059
OG0001695	KAI8039273.1	FBpp0305804
OG0001695	KAI8039274.1	FBpp0305805, FBpp0305806, FBpp0305807
OG0001697	KAI8039070.1	FBpp0073076, FBpp0073075
OG0001698	KAI8039137.1	FBpp0305551, FBpp0072630, FBpp0312460, FBpp0292962
OG0001699	KAI8039343.1	FBpp0303810, FBpp0307717, FBpp0303809
OG0001701	KAI8041031.1	FBpp0297447, FBpp0288555, FBpp0304246, FBpp0074730
OG0001703	KAI8044607.1	FBpp0084623
OG0001703	KAI8039405.1	FBpp0072904, FBpp0305095
OG0001706	KAI8039474.1	FBpp0301571, FBpp0301572, FBpp0301570, FBpp0301573, FBpp0073003
OG0001707	KAI8041762.1	FBpp0112056, FBpp0073166, FBpp0293524, FBpp0112055
OG0001708	KAI8039124.1	FBpp0089205, FBpp0072828, FBpp0089216, FBpp0089215, FBpp0072827
OG0001709	KAI8038974.1, KAI8039035.1	FBpp0072807, FBpp0291626
OG0001710	KAI8041217.1	FBpp0303842, FBpp0074781, FBpp0304465, FBpp0311540
OG0001711	KAI8039450.1	FBpp0072494
OG0001711	KAI8038998.1	FBpp0303821
OG0001712	KAI8041543.1	FBpp0305489, FBpp0302718, FBpp0302719, FBpp0075249
OG0001713	KAI8039213.1	FBpp0072712, FBpp0292251, FBpp0072713
OG0001714	KAI8039088.1	FBpp0073091, FBpp0289998, FBpp0073093, FBpp0305744
OG0001715	KAI8038932.1	FBpp0293337, FBpp0072480, FBpp0311657, FBpp0072481
OG0001716	KAI8041691.1	FBpp0074787, FBpp0074786, FBpp0074788
OG0001717	KAI8039062.1	FBpp0303831, FBpp0072836, FBpp0072833
OG0001718	KAI8040087.1, KAI8039173.1, KAI8041765.1	FBpp0073165, FBpp0073164
OG0001719	KAI8039270.1	FBpp0311277, FBpp0072815, FBpp0292141, FBpp0305637
OG0001720	KAI8038923.1	FBpp0073020, FBpp0305340
OG0001721	KAI8041019.1	FBpp0310768, FBpp0310766, FBpp0310767, FBpp0310769
OG0001722	KAI8039024.1	FBpp0289574, FBpp0308924, FBpp0293242
OG0001724	KAI8041795.1	FBpp0289880, FBpp0289879, FBpp0289881
OG0001725	KAI8041406.1	FBpp0075053, FBpp0075054, FBpp0075055
OG0001727	KAI8041282.1	FBpp0305566, FBpp0288916, FBpp0305567, FBpp0288915
OG0001728	KAI8041620.1	FBpp0099491, FBpp0291254, FBpp0305565
OG0001729	KAI8041404.1	FBpp0302831, FBpp0304432, FBpp0075057
OG0001730	KAI8041208.1	FBpp0305575, FBpp0075735, FBpp0075736
OG0001731	KAI8041090.1	FBpp0303946, FBpp0075683, FBpp0303945
OG0001732	KAI8041721.1	FBpp0294021, FBpp0075151, FBpp0075152, FBpp0294020, FBpp0303170
OG0001733	KAI8041202.1	FBpp0306218, FBpp0075729, FBpp0306217, FBpp0306216
OG0001735	KAI8041588.1	FBpp0076553, FBpp0076556, FBpp0076552, FBpp0076555, FBpp0076554
OG0001736	KAI8041656.1	FBpp0076640, FBpp0305568
OG0001737	KAI8041590.1	FBpp0310825, FBpp0076550, FBpp0288968
OG0001738	KAI8041014.1	FBpp0075066, FBpp0075062, FBpp0075063
OG0001739	KAI8041013.1	FBpp0294028, FBpp0112087, FBpp0075060, FBpp0075065
OG0001740	KAI8041441.1	FBpp0304893, FBpp0304891, FBpp0304892, FBpp0075708
OG0001741	KAI8036815.1	FBpp0087951, FBpp0308271, FBpp0308272, FBpp0428108
OG0001742	KAI8036900.1	FBpp0087939
OG0001742	KAI8037016.1, KAI8037017.1	FBpp0087940
OG0001743	KAI8036812.1	FBpp0111965, FBpp0293656
OG0001744	KAI8046386.1	FBpp0084295, FBpp0084296, FBpp0307969, FBpp0291387
OG0001745	KAI8046043.1, KAI8046044.1	FBpp0291678, FBpp0291677, FBpp0084713
OG0001748	KAI8045275.1	FBpp0308680, FBpp0084367, FBpp0084368, FBpp0302780, FBpp0084372
OG0001749	KAI8045488.1	FBpp0081800
OG0001749	KAI8045956.1	FBpp0081141, FBpp0308959
OG0001750	KAI8045071.1	FBpp0306054, FBpp0306053, FBpp0084358, FBpp0271897
OG0001751	KAI8045763.1	FBpp0083815, FBpp0083813, FBpp0311034
OG0001752	KAI8044243.1	FBpp0082220, FBpp0082223, FBpp0082219, FBpp0082222, FBpp0082221
OG0001753	KAI8040510.1	FBpp0076733, FBpp0290125, FBpp0303952
OG0001755	KAI8040371.1	FBpp0076802, FBpp0076803, FBpp0297369
OG0001756	KAI8040198.1	FBpp0303834, FBpp0303835, FBpp0311670, FBpp0076350
OG0001757	KAI8040364.1	FBpp0076837, FBpp0076839, FBpp0076838, FBpp0311254
OG0001758	KAI8040549.1	FBpp0305200, FBpp0311664, FBpp0113084, FBpp0301053, FBpp0076384
OG0001759	KAI8040455.1	FBpp0303199, FBpp0076373, FBpp0305325
OG0001760	KAI8037213.1	FBpp0086747
OG0001761	KAI8037343.1	FBpp0308979, FBpp0292958, FBpp0292959, FBpp0292960
OG0001762	KAI8037093.1	FBpp0070731, FBpp0300667, FBpp0301600, FBpp0088004
OG0001763	KAI8033764.1	FBpp0099643, FBpp0112915
OG0001764	KAI8033753.1	FBpp0070084, FBpp0070085, FBpp0306149, FBpp0099908, FBpp0099909
OG0001765	KAI8035461.1	FBpp0070707, FBpp0070706, FBpp0291128
OG0001766	KAI8034218.1	FBpp0310021, FBpp0074133, FBpp0310020
OG0001767	KAI8035449.1	FBpp0070761, FBpp0300894, FBpp0070760, FBpp0300895
OG0001768	KAI8035450.1	FBpp0070152, FBpp0070150, FBpp0311481, FBpp0070151, FBpp0070153
OG0001769	KAI8034211.1	FBpp0308859, FBpp0111439, FBpp0308860
OG0001771	KAI8043699.1	FBpp0271801, FBpp0307130, FBpp0077308, FBpp0077307, FBpp0077309
OG0001772	KAI8042997.1	FBpp0307159, FBpp0077482
OG0001773	KAI8042696.1	FBpp0304040, FBpp0303513, FBpp0111278, FBpp0300508
OG0001776	KAI8042469.1	FBpp0077544
OG0001777	KAI8042806.1	FBpp0077455, FBpp0077452, FBpp0077453, FBpp0077451
OG0001778	KAI8042253.1	FBpp0077522, FBpp0303510, FBpp0303508, FBpp0303509, FBpp0077523
OG0001779	KAI8043643.1	FBpp0297923, FBpp0307124, FBpp0077397, FBpp0077398
OG0001780	KAI8043302.1	FBpp0308612, FBpp0077495, FBpp0077497, FBpp0306832, FBpp0077496
OG0001781	KAI8043700.1	FBpp0077310, FBpp0077311, FBpp0077312
OG0001782	KAI8043801.1	FBpp0303855, FBpp0303854, FBpp0077445, FBpp0077446
OG0001784	KAI8043368.1	FBpp0077539, FBpp0303233, FBpp0303235, FBpp0303234
OG0001785	KAI8034681.1	FBpp0294056, FBpp0294054, FBpp0305229
OG0001786	KAI8034674.1	FBpp0300794, FBpp0300795
OG0001787	KAI8033449.1	FBpp0306508, FBpp0074228, FBpp0306507
OG0001788	KAI8033205.1	FBpp0309611, FBpp0073417, FBpp0309610
OG0001789	KAI8038225.1	FBpp0078820, FBpp0309824, FBpp0078821, FBpp0309823
OG0001790	KAI8045874.1	FBpp0081135, FBpp0081136, FBpp0081137
OG0001792	KAI8045758.1	FBpp0081199, FBpp0081198, FBpp0307952
OG0001793	KAI8044669.1	FBpp0082864, FBpp0082863, FBpp0082865
OG0001795	KAI8044770.1	FBpp0303347, FBpp0078382, FBpp0288645, FBpp0078383
OG0001796	KAI8034103.1	FBpp0088271, FBpp0088272, FBpp0311392, FBpp0305853
OG0001797	KAI8044642.1	FBpp0289962, FBpp0289964, FBpp0078277, FBpp0289960
OG0001798	KAI8044226.1, KAI8045805.1	FBpp0112110, FBpp0081218, FBpp0081217, FBpp0081219
OG0001800	KAI8044340.1	FBpp0078259, FBpp0306603, FBpp0306605, FBpp0306604
OG0001801	KAI8046923.1	FBpp0310748, FBpp0310749, FBpp0310746, FBpp0310747
OG0001803	KAI8044553.1	FBpp0084809, FBpp0084810, FBpp0084811, FBpp0084812, FBpp0084808
OG0001804	KAI8046225.1	FBpp0306627, FBpp0291397, FBpp0112307, FBpp0112308, FBpp0306626
OG0001805	KAI8044942.1	FBpp0084798, FBpp0305390, FBpp0084797, FBpp0089379
OG0001806	KAI8045121.1	FBpp0304478, FBpp0304477, FBpp0084986, FBpp0084987, FBpp0084988
OG0001807	KAI8044399.1	FBpp0084411, FBpp0084410, FBpp0084409
OG0001808	KAI8036996.1	FBpp0300234, FBpp0083768
OG0001809	KAI8046340.1	FBpp0084275, FBpp0112201, FBpp0112203, FBpp0112202
OG0001810	KAI8046553.1	FBpp0084841, FBpp0305954, FBpp0305955, FBpp0084840
OG0001811	KAI8045692.1	FBpp0311125, FBpp0083599, FBpp0302820, FBpp0290408
OG0001812	KAI8046856.1	FBpp0311006, FBpp0271818, FBpp0084454, FBpp0307707, FBpp0311007
OG0001813	KAI8044628.1	FBpp0100024, FBpp0084265, FBpp0100026, FBpp0289952, FBpp0100025
OG0001814	KAI8046154.1	FBpp0084799, FBpp0084800
OG0001817	KAI8037626.1	FBpp0290145, FBpp0085841, FBpp0290146
OG0001819	KAI8038214.1	FBpp0112548, FBpp0112547, FBpp0306783, FBpp0112550, FBpp0112549
OG0001820	KAI8035406.1	FBpp0077680, FBpp0077679, FBpp0305189, FBpp0077678
OG0001821	KAI8042111.1	FBpp0305297, FBpp0081030, FBpp0305298
OG0001822	KAI8035389.1	FBpp0077695, FBpp0077696, FBpp0077697
OG0001823	KAI8042317.1	FBpp0303536, FBpp0079238, FBpp0079235, FBpp0111748
OG0001824	KAI8042839.1	FBpp0300618, FBpp0303353
OG0001826	KAI8035410.1	FBpp0111811, FBpp0077116, FBpp0111812, FBpp0077117
OG0001827	KAI8042621.1	FBpp0309162, FBpp0288706, FBpp0080574
OG0001827	KAI8043583.1	FBpp0080575
OG0001828	KAI8042961.1	FBpp0289297, FBpp0312171, FBpp0078706, FBpp0078705, FBpp0309715
OG0001830	KAI8043723.1, KAI8043722.1	FBpp0311563, FBpp0080078
OG0001831	KAI8043433.1	FBpp0080639, FBpp0080640, FBpp0303872, FBpp0080641, FBpp0312181
OG0001832	KAI8037229.1	FBpp0423178, FBpp0423180, FBpp0423179
OG0001833	KAI8037097.1	FBpp0087974, FBpp0087975, FBpp0087976
OG0001834	KAI8037282.1	FBpp0088022, FBpp0088024, FBpp0292379, FBpp0088023
OG0001835	KAI8037342.1	FBpp0087968, FBpp0087969, FBpp0087970, FBpp0291433
OG0001836	KAI8037165.1	FBpp0088080, FBpp0088079, FBpp0088081, FBpp0088078
OG0001837	KAI8037004.1	FBpp0087354, FBpp0087356, FBpp0087406
OG0001841	KAI8038625.1	FBpp0086567, FBpp0290164, FBpp0086568
OG0001842	KAI8038329.1	FBpp0086571
OG0001842	KAI8038328.1	FBpp0294039, FBpp0086572
OG0001843	KAI8036836.1	FBpp0087375, FBpp0087376, FBpp0111976, FBpp0308547
OG0001844	KAI8034468.1	FBpp0300996, FBpp0312009, FBpp0074189
OG0001846	KAI8040666.1	FBpp0303965, FBpp0089002, FBpp0089001, FBpp0088536
OG0001847	KAI8040298.1	FBpp0075996, FBpp0423259, FBpp0290872, FBpp0075997
OG0001848	KAI8040816.1	FBpp0291851, FBpp0291849
OG0001849	KAI8040323.1	FBpp0303971, FBpp0076084
OG0001850	KAI8044796.1	FBpp0312595, FBpp0271723, FBpp0311484, FBpp0297661
OG0001851	KAI8041190.1	FBpp0271812, FBpp0271813, FBpp0271814, FBpp0290368
OG0001852	KAI8041273.1	FBpp0297950, FBpp0110184
OG0001853	KAI8040696.1	FBpp0076079, FBpp0076081, FBpp0076077, FBpp0076080, FBpp0076078
OG0001854	KAI8040733.1	FBpp0303130, FBpp0076130, FBpp0076129, FBpp0076127, FBpp0076128
OG0001855	KAI8040718.1	FBpp0076094, FBpp0076093, FBpp0076092, FBpp0076091
OG0001856	KAI8041359.1	FBpp0075829, FBpp0296928, FBpp0305417, FBpp0288463
OG0001857	KAI8042968.1	FBpp0080402, FBpp0080403, FBpp0089296, FBpp0308004, FBpp0080404
OG0001858	KAI8043920.1, KAI8043923.1	FBpp0289712, FBpp0297433, FBpp0082828, FBpp0082829
OG0001859	KAI8043151.1	FBpp0307143, FBpp0080499, FBpp0080498
OG0001860	KAI8036593.1	FBpp0310472, FBpp0085295, FBpp0085296
OG0001861	KAI8035649.1	FBpp0078207, FBpp0078208, FBpp0078206
OG0001862	KAI8038142.1	FBpp0302974, FBpp0302973
OG0001863	KAI8038064.1	FBpp0079056, FBpp0301227, FBpp0079055, FBpp0079054
OG0001865	KAI8034692.1	FBpp0074477, FBpp0074476, FBpp0301163, FBpp0301162
OG0001866	KAI8037265.1	FBpp0085752, FBpp0085750, FBpp0085753, FBpp0288739, FBpp0085751
OG0001868	KAI8039639.1	FBpp0289768, FBpp0297580
OG0001870	KAI8033783.1	FBpp0310192, FBpp0074036, FBpp0074034, FBpp0074035
OG0001871	KAI8040346.1	FBpp0302749, FBpp0302747, FBpp0310638, FBpp0302746
OG0001872	KAI8041716.1, KAI8039458.1	FBpp0290733, FBpp0290732, FBpp0290735, FBpp0290734
OG0001876	KAI8037661.1	FBpp0307242, FBpp0085419, FBpp0085418, FBpp0110407
OG0001877	KAI8037684.1	FBpp0110565
OG0001879	KAI8045572.1	FBpp0081473, FBpp0305823, FBpp0081472, FBpp0081470, FBpp0081471
OG0001880	KAI8034398.1	FBpp0305909, FBpp0305908, FBpp0305907, FBpp0305906
OG0001881	KAI8033750.1, KAI8033747.1, KAI8033748.1	FBpp0074568, FBpp0074567
OG0001882	KAI8044913.1	FBpp0081933
OG0001883	KAI8034206.1	FBpp0305702, FBpp0290978, FBpp0071154, FBpp0290976, FBpp0089326
OG0001884	KAI8033112.1	FBpp0112712, FBpp0112713, FBpp0310922, FBpp0112714
OG0001886	KAI8044292.1	FBpp0291233, FBpp0291232, FBpp0307957
OG0001887	KAI8044671.1	FBpp0078556, FBpp0078555, FBpp0078553, FBpp0078554
OG0001888	KAI8046758.1	FBpp0302533, FBpp0302535, FBpp0302534, FBpp0302531, FBpp0302532
OG0001889	KAI8035685.1	FBpp0308438, FBpp0288554, FBpp0087792, FBpp0087791, FBpp0087790
OG0001891	KAI8036506.1	FBpp0289731, FBpp0085394, FBpp0307253, FBpp0085395
OG0001893	KAI8042015.1	FBpp0293020, FBpp0293019, FBpp0079456, FBpp0428274, FBpp0079457
OG0001894	KAI8035016.1	FBpp0297864, FBpp0297865, FBpp0304664
OG0001896	KAI8043042.1	FBpp0081018, FBpp0310409, FBpp0081019, FBpp0291140, FBpp0310410
OG0001898	KAI8043613.1	FBpp0303237, FBpp0271886, FBpp0303511, FBpp0301022, FBpp0303236
OG0001899	KAI8036040.1	FBpp0308825, FBpp0074199, FBpp0074202, FBpp0074201, FBpp0308824
OG0001901	KAI8044832.1	FBpp0289971, FBpp0289968, FBpp0289972, FBpp0289969, FBpp0289970, FBpp0289967
OG0001912	KAI8034675.1	FBpp0074517, FBpp0309476, FBpp0074518
OG0001913	KAI8043285.1	FBpp0293179
OG0001914	KAI8033787.1	FBpp0073987
OG0001915	KAI8037487.1	FBpp0298043, FBpp0308621, FBpp0288693
OG0001916	KAI8037431.1	FBpp0308620, FBpp0071754, FBpp0312217
OG0001917	KAI8037489.1	FBpp0290461, FBpp0071738
OG0001918	KAI8044164.1	FBpp0307909, FBpp0307908, FBpp0083591, FBpp0087414
OG0001920	KAI8042644.1, KAI8042771.1	FBpp0077239, FBpp0308650
OG0001921	KAI8042175.1	FBpp0293936, FBpp0289530, FBpp0289522, FBpp0309922
OG0001922	KAI8045129.1	FBpp0083868, FBpp0306810, FBpp0083867
OG0001923	KAI8042178.1	FBpp0292961, FBpp0099799
OG0001924	KAI8042929.1	FBpp0297895, FBpp0077185, FBpp0297894
OG0001925	KAI8042485.1	FBpp0306861, FBpp0077190, FBpp0077191
OG0001926	KAI8033481.1	FBpp0303584, FBpp0303583, FBpp0305209, FBpp0310434
OG0001927	KAI8034717.1	FBpp0074501, FBpp0310720, FBpp0074500, FBpp0300512
OG0001928	KAI8035569.1	FBpp0312008, FBpp0073918, FBpp0309111
OG0001929	KAI8035571.1	FBpp0089403, FBpp0089405, FBpp0089402, FBpp0073961
OG0001931	KAI8035623.1	FBpp0289622, FBpp0289620, FBpp0289621
OG0001932	KAI8036397.1	FBpp0423268
OG0001933	KAI8044814.1	FBpp0082025
OG0001933	KAI8034014.1	FBpp0070872
OG0001935	KAI8046412.1	FBpp0306781, FBpp0082775, FBpp0311432, FBpp0082776
OG0001936	KAI8046295.1	FBpp0307052, FBpp0081674
OG0001937	KAI8044686.1	FBpp0305958, FBpp0305959, FBpp0081663
OG0001938	KAI8046410.1	FBpp0082771, FBpp0082770
OG0001939	KAI8045110.1, KAI8045139.1	FBpp0084232, FBpp0084231, FBpp0297095
OG0001940	KAI8038093.1	FBpp0111419, FBpp0312560, FBpp0305696, FBpp0312103
OG0001941	KAI8038140.1	FBpp0085255, FBpp0085254
OG0001942	KAI8045418.1	FBpp0307993, FBpp0082818, FBpp0307992, FBpp0082819
OG0001943	KAI8038103.1	FBpp0078922, FBpp0078921, FBpp0078923
OG0001944	KAI8036803.1, KAI8035609.1, KAI8035590.1, KAI8038133.1	FBpp0085252
OG0001945	KAI8038116.1	FBpp0078964, FBpp0297250, FBpp0078963
OG0001946	KAI8046626.1	FBpp0311942, FBpp0082215, FBpp0082216
OG0001947	KAI8043839.1	FBpp0311562, FBpp0079705, FBpp0079704, FBpp0305676
OG0001948	KAI8036427.1	FBpp0300417, FBpp0297298, FBpp0088245
OG0001949	KAI8042784.1	FBpp0079726, FBpp0309537, FBpp0079727, FBpp0309538
OG0001950	KAI8041912.1	FBpp0079694, FBpp0307806, FBpp0311163
OG0001951	KAI8037593.1	FBpp0071885
OG0001951	KAI8037439.1	FBpp0071878
OG0001953	KAI8035617.1	FBpp0074243, FBpp0074244, FBpp0074242
OG0001955	KAI8035559.1	FBpp0290191, FBpp0290200, FBpp0088741, FBpp0290196
OG0001956	KAI8035565.1	FBpp0309328, FBpp0309327, FBpp0290199, FBpp0290192
OG0001957	KAI8035629.1	FBpp0300656, FBpp0311922, FBpp0073759
OG0001958	KAI8041291.1	FBpp0291671, FBpp0305844, FBpp0291672, FBpp0074984
OG0001959	KAI8045541.1	FBpp0291566, FBpp0082788, FBpp0291565, FBpp0082787
OG0001960	KAI8041689.1	FBpp0111360, FBpp0290234
OG0001961	KAI8041412.1	FBpp0306183, FBpp0306182, FBpp0074857
OG0001962	KAI8045879.1	FBpp0312494
OG0001963	KAI8040997.1	FBpp0306074, FBpp0306682, FBpp0076407
OG0001966	KAI8041834.1	FBpp0428154, FBpp0304442, FBpp0112077
OG0001967	KAI8040980.1	FBpp0305841, FBpp0305842, FBpp0074981
OG0001968	KAI8041788.1	FBpp0304226, FBpp0074941, FBpp0311537, FBpp0311214
OG0001969	KAI8045669.1	FBpp0305032, FBpp0083092, FBpp0303062
OG0001970	KAI8046643.1	FBpp0083111
OG0001970	KAI8045895.1	FBpp0083266
OG0001971	KAI8043930.1	FBpp0311983, FBpp0083142, FBpp0083141
OG0001972	KAI8043979.1	FBpp0293682, FBpp0293681, FBpp0081723
OG0001973	KAI8046804.1	FBpp0083720
OG0001973	KAI8043984.1	FBpp0081736
OG0001974	KAI8033843.1	FBpp0070209, FBpp0070208, FBpp0089374
OG0001975	KAI8033076.1	FBpp0070578
OG0001975	KAI8042347.1	FBpp0080847
OG0001976	KAI8032988.1	FBpp0070572, FBpp0305905, FBpp0070573, FBpp0070575
OG0001977	KAI8033922.1	FBpp0070561, FBpp0070562, FBpp0305927
OG0001979	KAI8037870.1	FBpp0075443, FBpp0305287, FBpp0305288
OG0001980	KAI8037704.1	FBpp0310804, FBpp0310803, FBpp0311740
OG0001981	KAI8037955.1	FBpp0292798, FBpp0075355, FBpp0306209
OG0001982	KAI8037708.1	FBpp0304266, FBpp0075313, FBpp0075312
OG0001983	KAI8036766.1	FBpp0304443, FBpp0075260
OG0001984	KAI8033953.1, KAI8033291.1	FBpp0311778, FBpp0070757
OG0001985	KAI8033521.1	FBpp0310585, FBpp0310584
OG0001987	KAI8041261.1	FBpp0073200
OG0001987	KAI8036049.1	FBpp0074177
OG0001988	KAI8036042.1	FBpp0074216, FBpp0074215, FBpp0074217
OG0001989	KAI8036104.1	FBpp0113051, FBpp0113052, FBpp0309082, FBpp0113053
OG0001990	KAI8034292.1	FBpp0305897, FBpp0305896, FBpp0070361, FBpp0070360
OG0001991	KAI8033541.1	FBpp0070404, FBpp0309623, FBpp0309622
OG0001992	KAI8034277.1	FBpp0302638, FBpp0070369, FBpp0302639, FBpp0301777
OG0001994	KAI8033229.1	FBpp0308740, FBpp0073871, FBpp0308742, FBpp0308741
OG0001995	KAI8034318.1	FBpp0304577, FBpp0073616, FBpp0304576, FBpp0304125
OG0001996	KAI8036198.1	FBpp0310014, FBpp0292038, FBpp0289277
OG0001998	KAI8036153.1	FBpp0070610, FBpp0305386, FBpp0305385
OG0001999	KAI8034556.1	FBpp0074428, FBpp0074429, FBpp0074427, FBpp0074430
OG0002000	KAI8035197.1	FBpp0304148, FBpp0073879, FBpp0309304
OG0002001	KAI8037772.1	FBpp0078166
OG0002001	KAI8035222.1	FBpp0071115
OG0002002	KAI8033225.1	FBpp0423174, FBpp0111565, FBpp0305363
OG0002003	KAI8036215.1	FBpp0089320, FBpp0310013, FBpp0071165
OG0002004	KAI8035187.1	FBpp0071072
OG0002005	KAI8034610.1	FBpp0074401, FBpp0111913, FBpp0309794
OG0002006	KAI8034603.1	FBpp0074400
OG0002007	KAI8034316.1	FBpp0308759, FBpp0308760
OG0002008	KAI8035198.1	FBpp0309355, FBpp0089042
OG0002009	KAI8046851.1	FBpp0112189, FBpp0083896, FBpp0303396
OG0002010	KAI8046848.1	FBpp0290388, FBpp0083890, FBpp0083889
OG0002011	KAI8045453.1	FBpp0290647, FBpp0305965
OG0002012	KAI8045446.1	FBpp0306265, FBpp0306266, FBpp0306263, FBpp0306264
OG0002014	KAI8046347.1	FBpp0083942, FBpp0083944, FBpp0083943, FBpp0083941
OG0002015	KAI8045430.1	FBpp0293268, FBpp0083987, FBpp0306945
OG0002016	KAI8046214.1	FBpp0083106, FBpp0310713, FBpp0310714
OG0002018	KAI8045892.1	FBpp0310727, FBpp0310730, FBpp0310729, FBpp0083230
OG0002019	KAI8046910.1	FBpp0310695, FBpp0083052, FBpp0288650
OG0002021	KAI8045088.1	FBpp0083356, FBpp0083355
OG0002022	KAI8044828.1	FBpp0082972, FBpp0082971, FBpp0082970
OG0002024	KAI8046022.1	FBpp0290914, FBpp0290033, FBpp0290032
OG0002025	KAI8046881.1	FBpp0307396, FBpp0083960, FBpp0311410, FBpp0083959
OG0002026	KAI8040672.1	FBpp0076029
OG0002026	KAI8033160.1	FBpp0083295
OG0002027	KAI8034168.1	FBpp0071376
OG0002027	KAI8035500.1	FBpp0070644
OG0002028	KAI8033609.1	FBpp0070424, FBpp0309090, FBpp0070423
OG0002029	KAI8033462.1	FBpp0070146, FBpp0300875
OG0002030	KAI8033611.1	FBpp0070132, FBpp0070130, FBpp0070131
OG0002032	KAI8034074.1	FBpp0311880, FBpp0311881
OG0002033	KAI8033143.1	FBpp0289555, FBpp0070098
OG0002034	KAI8033732.1	FBpp0307847, FBpp0071364, FBpp0111881
OG0002035	KAI8033730.1	FBpp0300229, FBpp0111883
OG0002036	KAI8042989.1	FBpp0070160
OG0002037	KAI8033025.1	FBpp0110080, FBpp0110079, FBpp0309769
OG0002038	KAI8034524.1	FBpp0305357, FBpp0311960, FBpp0305358, FBpp0305359
OG0002040	KAI8033729.1	FBpp0309420, FBpp0071345, FBpp0298371, FBpp0298369
OG0002042	KAI8033735.1	FBpp0309782, FBpp0071328, FBpp0071329
OG0002043	KAI8034502.1	FBpp0305117, FBpp0310433, FBpp0071373
OG0002044	KAI8044309.1	FBpp0311449, FBpp0308282, FBpp0083706
OG0002045	KAI8046799.1	FBpp0310733, FBpp0310732, FBpp0310735
OG0002046	KAI8046694.1	FBpp0111475, FBpp0293835, FBpp0308425
OG0002047	KAI8045522.1	FBpp0307746, FBpp0078333
OG0002048	KAI8045618.1	FBpp0112945, FBpp0088628
OG0002049	KAI8045516.1	FBpp0078417, FBpp0303060, FBpp0303059
OG0002050	KAI8043902.1	FBpp0312438, FBpp0308993, FBpp0306785, FBpp0078328
OG0002051	KAI8045523.1	FBpp0310677, FBpp0078413, FBpp0310679, FBpp0310678
OG0002053	KAI8045617.1	FBpp0311361, FBpp0078391, FBpp0078390
OG0002054	KAI8041264.1	FBpp0073173
OG0002054	KAI8044410.1	FBpp0078414
OG0002055	KAI8037564.1, KAI8037511.1	FBpp0301555, FBpp0071776
OG0002056	KAI8037549.1	FBpp0423072, FBpp0423059, FBpp0423060, FBpp0289402
OG0002057	KAI8044121.1	FBpp0081068
OG0002057	KAI8037451.1	FBpp0071746
OG0002058	KAI8033038.1	FBpp0293053, FBpp0311827, FBpp0428083
OG0002059	KAI8039930.1	FBpp0088517
OG0002059	KAI8034814.1	FBpp0070963
OG0002060	KAI8034769.1	FBpp0070965, FBpp0070966, FBpp0304593, FBpp0291074
OG0002061	KAI8033375.1	FBpp0307560, FBpp0291154, FBpp0308995
OG0002062	KAI8034799.1	FBpp0073402, FBpp0312033, FBpp0073401, FBpp0312034
OG0002063	KAI8035045.1	FBpp0304773, FBpp0073889, FBpp0099492
OG0002064	KAI8034757.1	FBpp0311370, FBpp0073444, FBpp0308797
OG0002065	KAI8034393.1	FBpp0300333, FBpp0073511, FBpp0289604
OG0002066	KAI8034789.1	FBpp0074585, FBpp0074586, FBpp0300889
OG0002067	KAI8034396.1	FBpp0073516, FBpp0305898, FBpp0311375
OG0002069	KAI8034797.1	FBpp0304573, FBpp0071423, FBpp0309791, FBpp0071424
OG0002070	KAI8034804.1	FBpp0310184, FBpp0310241, FBpp0089045
